# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	186
#@/user_id	af19ec16-1abd-4ed2-bae6-3b8f2b40baeb
ba zhe ge 	把这个	c=1 d=0.67032 t=186
bi xia 	陛下	c=1 d=0.965605 t=186
bian hua 	变化	c=1 d=1 t=186
bu xiang 	不想	c=0 d=0.0882497 t=186
bu xiang rang wo qu 	不想让我去	c=1 d=0.88692 t=186
chen wei zhen 	陈伟贞	c=1 d=0.927743 t=186
cheng xu 	程序	c=1 d=0.740818 t=186
chi 	吃	c=1 d=0.970446 t=186
chuan duan xiu 	穿短袖	c=1 d=0.995012 t=186
chuang kou 	窗口	c=0 d=0.0744532 t=186
chuang kou zhuang shi 	窗口装饰	c=1 d=0.748264 t=186
chun hua 	春华	c=0 d=0.0927743 t=186
ci ku 	词库	c=1 d=0.965605 t=186
cong yi yuan 	从医院	c=1 d=0.985112 t=186
cuo 	错	c=0 d=0.0822835 t=186
cuo wu 	错误	c=1 d=0.941765 t=186
cuo wu ma 	错误码	c=1 d=0.980199 t=186
dao ru ci ku 	导入词库	c=1 d=1 t=178
de 	的	c=8 d=5.88259 t=186
de shi 	的是	c=0 d=0.066365 t=186
de ya 	的呀	c=0 d=0.0995012 t=186
deng deng 	等等	c=1 d=0.755784 t=186
di ban 	地板	c=1 d=0.951229 t=186
di fang 	地方	c=0 d=0.0826959 t=186
di fang le 	地方了	c=1 d=0.831104 t=186
dou 	都	c=2 d=1.86516 t=186
dou xing 	都行	c=0 d=0.097531 t=186
dou xing ya 	都行呀	c=1 d=0.980199 t=186
er bu shi 	而不是	c=3 d=2.68058 t=186
gan bu 	干不	c=0 d=0.0918512 t=186
gan bu 	干部	c=0 d=0.0913931 t=186
gan bu jin qu 	干不进去	c=2 d=1.87912 t=186
gan bu jin qu 	干部进去	c=1 d=0.918512 t=186
gan sha 	干啥	c=4 d=3.70245 t=186
geng huan diao 	更换掉	c=1 d=0.650509 t=186
